Subject,Distance,Context,Resp13,RT,Vis
4,1,0,0,0.44165,1
4,1,1,1,0.3178,1
4,6,0,1,0.31694,1
4,4,0,1,0.26233,1
4,4,0,1,0.3416,1
4,2,1,0,0.36934,1
4,5,0,0,0.47469,1
4,5,0,0,0.60328,1
4,1,0,0,0.51238,1
4,1,1,1,0.27179,1
4,2,1,1,0.28099,1
4,6,0,1,0.27564,1
4,6,0,1,0.21211,1
4,1,0,1,0.81864,1
4,1,1,1,0.62723,1
4,1,1,1,0.49358,1
4,4,0,1,0.45884,1
4,1,1,1,0.50866,1
4,1,0,1,0.46597,1
4,6,1,1,0.37054,1
4,3,0,1,0.36165,1
4,3,1,1,0.42423,1
4,4,0,1,0.32342,1
4,2,1,1,0.39601,1
4,5,0,1,0.33717,1
4,5,1,1,0.34908,1
4,1,0,1,0.23833,1
4,3,1,1,0.40436,1
4,6,1,1,0.23875,1
4,3,1,1,0.47268,1
4,1,0,1,0.48475,1
4,3,0,1,0.26384,1
4,3,0,1,0.26648,1
4,2,1,1,0.32303,1
4,3,0,1,0.24496,1
4,4,1,1,0.33684,1
4,6,1,1,0.53735,1
4,3,0,1,0.46534,1
4,2,0,1,0.4639,1
4,5,1,1,0.42429,1
4,2,0,0,0.45358,1
4,2,1,1,0.44867,1
4,6,1,1,0.36826,1
4,4,0,1,0.24183,1
4,1,0,1,0.31757,1
4,5,1,1,0.33215,1
4,4,1,1,0.30422,1
4,3,0,1,0.4548,1
4,4,1,1,0.34299,1
4,2,0,1,0.5003,1
4,5,0,1,0.30756,1
4,5,1,1,0.34926,1
4,5,0,1,0.27792,1
4,2,1,1,0.37637,1
4,2,1,1,0.28687,1
4,4,1,1,0.32659,1
4,2,1,1,0.29811,1
4,5,1,1,0.2215,1
4,4,1,1,0.19421,1
4,3,1,1,0.25854,1
4,6,0,1,0.54692,1
4,2,1,1,0.2943,1
4,6,1,1,0.46611,1
4,2,1,1,0.34642,1
4,2,0,1,0.18327,1
4,5,1,1,0.18327,1
4,3,1,1,0.2348,1
4,5,1,1,0.19684,1
4,4,0,1,0.18327,1
4,2,0,1,0.2336,1
4,5,1,1,0.37351,1
4,1,1,1,0.46057,1
4,2,0,1,0.23369,1
4,2,1,1,0.27026,1
4,6,0,1,0.23694,1
4,4,1,1,0.23872,1
4,6,0,1,0.23179,1
4,5,0,1,0.2791,1
4,5,1,1,0.41695,1
4,1,0,1,0.2321,1
4,4,1,1,0.40409,1
4,5,1,1,0.18935,1
4,3,0,1,0.18328,1
4,6,1,1,0.28767,1
4,5,0,1,0.28881,1
4,6,0,1,0.30736,1
4,5,1,1,0.18327,1
4,6,1,1,0.18331,1
4,5,0,1,0.31128,1
5,5,0,1,1.2841,1
5,2,1,1,1.7566,2
5,5,0,1,0.90231,1
5,3,0,0,0.78216,1
5,6,1,1,1.3646,1
5,6,0,1,0.94193,1
5,5,1,1,1.0449,2
5,1,0,1,0.70819,2
5,3,0,1,1.0167,2
5,4,1,0,1.3613,1
5,3,0,0,0.77702,2
5,1,1,1,1.1217,1
5,1,1,1,0.85943,2
5,6,1,1,1.0241,1
5,1,0,0,1.3226,2
5,1,0,1,0.71708,2
5,1,1,0,0.96499,1
5,1,0,0,0.69193,2
5,5,0,1,1.2324,1
5,4,1,0,1.1457,2
5,2,0,0,0.91892,2
5,2,1,0,1.2754,1
5,5,0,1,0.46749,1
5,1,0,0,0.79516,2
5,4,1,0,0.64823,2
5,1,0,1,1.0568,1
5,4,1,1,0.52745,1
5,2,0,1,0.48384,1
5,6,0,1,0.81688,1
5,5,1,0,0.50318,1
5,6,1,0,0.547,1
5,1,0,0,0.94146,2
5,3,1,0,0.59817,2
5,3,1,1,0.80458,2
5,4,1,0,0.63804,1
5,4,0,0,0.70904,2
5,5,0,0,0.66098,2
5,5,0,0,0.55687,2
5,5,0,0,0.76921,2
5,4,1,0,0.74301,1
5,4,0,1,0.60485,1
5,3,1,1,0.57226,1
5,3,1,0,0.72813,1
5,5,0,1,0.5933,1
5,3,0,1,0.52871,1
5,3,1,1,0.41772,1
5,2,1,0,0.42687,1
5,4,0,0,0.40202,1
5,4,1,0,0.62382,1
5,1,0,0,0.71116,1
5,3,0,1,0.27107,2
5,2,1,1,0.38897,2
5,2,1,0,0.43673,1
5,1,0,0,0.72999,2
5,4,0,0,0.46993,1
5,1,1,0,0.5306,1
5,2,1,0,0.38096,1
5,3,0,1,0.44037,1
5,4,0,1,0.63276,2
5,6,0,0,0.67746,1
5,2,1,0,0.48657,1
5,4,0,0,0.68792,1
5,5,1,0,0.95774,1
5,4,0,1,0.40471,2
5,1,1,1,0.60947,1
5,5,0,1,0.56402,1
5,6,1,0,0.5418,1
5,1,0,1,0.31041,1
5,6,1,1,0.56285,1
5,3,0,1,0.44891,1
5,2,0,0,0.62943,1
5,3,0,0,0.72917,2
5,3,0,0,0.68235,1
5,2,1,0,0.30065,1
5,2,0,0,0.19193,1
5,4,0,1,0.43063,1
5,5,0,0,0.37779,1
5,2,1,0,0.37104,1
5,2,0,0,0.55622,2
5,1,0,0,0.40415,1
5,1,1,0,0.64683,1
5,6,0,1,0.46328,2
5,5,1,1,0.40936,1
5,6,1,0,0.64709,1
5,5,1,0,0.37691,1
5,4,0,0,0.4148,1
5,5,1,0,0.43482,1
5,2,0,0,0.51596,1
5,2,1,1,0.53922,1
5,4,0,0,0.55038,2
5,3,1,0,0.47294,1
