Subject,Distance,Context,Resp13,RT,Vis
1,6,1,1,0.82508,1
1,3,0,0,0.91616,1
1,6,1,1,0.82453,1
1,1,0,0,0.671,1
1,5,0,0,0.93375,1
1,2,1,0,0.74737,1
1,6,1,1,0.84783,1
1,1,1,0,0.61774,1
1,6,0,1,0.67409,1
1,5,1,1,1.0052,1
1,2,1,0,0.74909,1
1,4,0,0,0.71763,1
1,1,0,0,0.6767,1
1,5,1,1,0.83002,1
1,4,1,1,0.86917,1
1,4,0,1,0.74349,1
1,5,1,1,0.82912,1
1,3,0,0,0.86981,1
1,1,0,0,0.72966,1
1,4,0,0,0.73412,1
1,5,0,1,0.66364,1
1,1,0,0,0.80102,1
1,1,1,0,0.77352,1
1,1,1,0,0.67736,1
1,3,1,1,0.78307,1
1,5,0,1,0.71907,1
1,3,1,0,0.78102,1
1,3,1,0,0.77401,1
1,6,1,1,0.71576,1
1,2,0,0,0.86506,1
1,5,0,1,0.71481,1
1,5,0,1,0.71075,1
1,6,1,1,1.0039,1
1,4,0,1,0.72048,1
1,6,0,1,0.63228,1
1,3,1,1,0.76198,1
1,1,0,0,0.6893,1
1,5,1,1,0.65698,1
1,2,1,1,0.91285,1
1,4,0,1,0.73544,1
1,4,1,1,0.92195,1
1,4,0,1,0.74516,1
1,3,0,1,0.75623,1
1,1,1,1,0.80742,1
1,4,1,1,0.72142,1
1,1,0,1,0.77719,1
1,4,0,1,0.87563,1
1,4,0,1,0.81672,1
1,3,1,1,0.75296,1
1,5,1,1,0.74575,1
1,3,1,1,1.444,1
1,2,0,1,0.61905,1
1,4,1,1,0.72892,1
1,1,0,0,0.65278,1
1,4,1,0,0.90822,1
1,4,1,1,1.2806,1
1,4,0,1,0.86295,1
1,3,1,1,0.81699,1
1,1,1,1,0.72938,1
1,3,1,1,0.61654,1
1,6,0,1,0.60447,1
1,4,1,1,0.60701,1
1,3,0,1,0.63419,1
1,5,0,1,0.59527,1
1,4,1,1,0.43512,1
1,1,1,1,0.48815,1
