Subject,Distance,Context,Style,Item,ClassRef,RT,Vis
1,3,0,0,9,1,0.52047,1
1,2,0,0,12,1,0.46995,1
1,1,0,0,8,1,0.55452,1
1,3,1,0,10,1,0.52091,1
1,1,1,0,12,1,0.45023,1
1,1,1,0,7,1,0.43892,1
1,3,0,0,11,1,0.67867,1
1,1,1,0,10,1,0.57274,1
1,3,0,0,8,1,0.51799,1
1,1,0,0,9,1,0.61774,1
1,2,1,0,11,1,0.53514,1
1,2,1,0,9,1,0.5084,1
1,2,0,0,10,1,0.57345,1
1,2,0,0,7,1,0.67149,1
1,2,0,0,9,1,0.57875,1
1,1,0,0,12,1,0.58781,1
1,1,1,0,8,1,0.58342,1
1,1,0,0,11,1,0.62391,1
1,3,1,0,12,1,0.73434,1
1,3,0,0,7,1,0.57714,1
1,1,0,0,10,1,0.55631,1
1,2,1,0,7,1,0.56059,1
1,2,0,0,8,1,0.57542,1
1,3,1,0,11,1,0.59678,1
1,3,1,0,9,1,0.68719,1
1,2,1,0,8,1,0.52369,1
1,2,0,0,11,1,0.49655,1
1,3,1,0,7,1,0.52069,1
1,3,0,0,12,1,0.49131,1
1,1,0,0,11,1,0.58297,1
1,3,0,0,8,1,0.49354,1
1,1,1,0,11,1,0.46213,1
1,3,1,0,7,1,0.48197,1
1,1,0,0,9,0,0.71716,1
1,2,1,0,12,1,0.47609,1
1,3,1,0,11,1,0.45983,1
1,2,1,0,9,1,0.63092,1
1,3,0,0,7,1,0.55156,1
1,1,0,0,8,1,0.53634,1
1,2,0,0,9,0,0.72333,1
1,2,0,0,12,1,0.45728,1
1,2,0,0,11,1,0.50475,1
1,1,0,0,12,1,0.54257,1
1,3,0,0,10,1,0.5497,1
1,2,1,0,8,1,0.523,1
1,1,0,0,10,1,0.43411,1
1,3,0,0,9,1,0.44483,1
1,3,1,0,10,1,0.47411,1
1,2,1,0,7,1,0.52917,1
1,3,1,0,12,1,0.4859,1
1,2,0,0,10,1,0.36858,1
1,2,0,0,7,1,0.53297,1
1,1,1,0,9,1,0.33101,1
1,2,0,0,8,1,0.6036,1
1,1,1,0,10,1,0.53752,1
1,1,1,0,12,0,0.89617,1
1,1,1,0,8,1,0.45526,1
1,1,0,0,7,1,0.58245,1
1,2,1,0,10,1,0.54324,1
1,3,0,0,12,1,0.61115,1
1,3,1,0,9,1,0.4655,1
1,2,1,0,11,1,0.48619,1
1,3,1,0,8,1,0.53615,1
1,1,1,0,7,1,0.37327,1
1,3,0,0,11,1,0.48935,1
1,1,0,1,1,1,0.7489,1
1,2,1,1,3,0,0.78065,1
1,3,0,1,1,1,0.58387,1
1,3,0,1,5,0,0.77915,1
1,2,1,1,1,1,0.57313,1
1,3,1,1,5,0,0.76364,1
1,2,0,1,4,1,0.62506,1
1,2,1,1,5,0,0.81096,1
1,3,1,1,4,1,0.55661,1
1,1,1,1,3,0,0.67799,1
1,1,1,1,4,1,0.70982,1
1,2,0,1,1,1,0.683,1
1,1,1,1,6,0,0.83368,1
1,2,1,1,2,0,0.71891,1
1,3,0,1,6,0,0.69748,1
1,2,1,1,4,1,0.58271,1
1,2,0,1,2,0,0.68011,1
1,1,1,1,5,0,0.78841,1
1,1,1,1,2,0,0.6772,1
1,3,0,1,4,1,0.63717,1
1,1,1,1,1,1,0.76227,1
1,2,1,1,6,0,0.60165,1
1,3,1,1,1,1,0.69141,1
1,3,1,1,3,0,0.69398,1
1,3,1,1,6,0,0.80862,1
1,3,0,1,2,0,0.74052,1
1,2,0,1,6,0,0.68295,1
1,2,0,1,5,0,0.64295,1
1,3,1,1,2,0,0.62491,1
1,1,0,1,3,0,0.58865,1
1,1,0,1,5,0,0.59669,1
1,1,0,1,6,0,0.87462,1
1,1,0,1,4,1,0.76834,1
1,3,0,1,3,0,0.48507,1
1,1,0,1,2,1,0.53498,1
1,2,0,1,3,0,0.4575,1
1,1,1,1,5,0,0.63703,1
1,1,0,1,3,0,0.639,1
1,1,1,1,1,1,0.68947,1
1,1,0,1,2,0,0.58628,1
1,3,1,1,1,1,0.62332,1
1,2,0,1,6,0,0.56049,1
1,1,0,1,1,1,0.59187,1
1,2,0,1,2,0,0.63644,1
1,1,1,1,4,1,0.58771,1
1,2,1,1,6,0,0.5616,1
1,2,1,1,3,0,0.55212,1
1,3,1,1,2,0,0.68466,1
1,3,0,1,3,0,0.62466,1
1,1,1,1,2,0,0.67123,1
1,3,0,1,6,0,0.60566,1
1,3,1,1,5,1,0.77708,1
1,3,0,1,2,0,0.62652,1
1,2,1,1,4,1,0.56749,1
1,2,0,1,3,0,0.50894,1
1,2,0,1,1,1,0.57744,1
1,3,1,1,4,1,0.60538,1
1,3,0,1,1,1,0.63042,1
1,3,0,1,4,1,0.53676,1
1,2,0,1,5,0,0.7682,1
1,3,1,1,3,0,0.5475,1
1,3,0,1,5,1,0.52461,1
1,2,1,1,2,0,0.68798,1
1,3,1,1,6,0,0.63194,1
1,1,0,1,5,1,0.75637,1
1,1,0,1,4,1,0.66445,1
1,1,1,1,3,0,0.67367,1
1,1,1,1,6,0,0.6015,1
1,2,0,1,4,1,0.54949,1
1,2,1,1,1,1,0.48537,1
1,1,0,1,6,1,0.47448,1
1,3,0,1,1,1,0.67707,1
1,2,0,1,6,0,0.55377,1
1,2,0,1,5,1,0.59943,1
1,1,0,1,1,1,0.58214,1
1,3,1,1,2,1,0.82673,1
1,1,0,1,6,0,0.57269,1
1,1,1,1,3,0,0.62871,1
1,2,0,1,1,1,0.44523,1
1,3,1,1,3,1,0.82964,1
1,1,1,1,2,0,0.72632,1
1,3,1,1,1,1,0.53433,1
1,1,0,1,4,1,0.56928,1
1,2,0,1,2,0,0.63396,1
1,3,1,1,6,0,0.63525,1
1,1,1,1,4,1,0.56644,1
1,3,1,1,5,1,0.6903,1
1,1,0,1,2,0,0.58571,1
1,2,1,1,1,1,0.58478,1
1,2,1,1,3,0,0.87878,1
1,2,0,1,4,1,0.47339,1
1,1,0,1,5,0,0.71857,1
1,2,1,1,2,0,0.71456,1
1,2,1,1,6,0,0.58463,1
1,3,0,1,5,1,0.79761,1
1,1,1,1,1,1,0.64969,1
1,2,0,1,3,0,0.62765,1
1,1,1,1,6,0,0.78664,1
1,2,1,1,5,1,0.59137,1
1,3,1,1,4,1,0.59731,1
1,1,1,1,5,0,0.61043,1
1,3,0,1,4,1,0.63907,1
1,3,0,1,3,1,0.76963,1
1,3,0,1,2,1,0.70805,1
1,2,1,1,4,1,0.52468,1
1,3,0,1,6,0,0.59447,1
1,1,1,1,2,0,0.60106,1
1,2,1,1,3,1,0.70629,1
1,3,0,1,6,0,0.59607,1
1,2,0,1,5,1,0.59452,1
1,3,1,1,2,1,0.82132,1
1,3,1,1,5,1,0.59242,1
1,3,0,1,2,1,0.76581,1
1,2,0,1,1,1,0.56237,1
1,3,1,1,3,1,0.67099,1
1,2,1,1,4,1,0.54593,1
1,1,0,1,2,0,0.72477,1
1,1,1,1,3,1,0.4893,1
1,2,1,1,2,0,0.71463,1
1,2,0,1,6,0,0.6238,1
1,1,1,1,1,1,0.50029,1
1,1,0,1,4,1,0.68441,1
1,1,1,1,6,0,0.68091,1
1,1,1,1,5,1,0.54066,1
1,2,1,1,1,1,0.50474,1
1,2,0,1,2,0,0.58064,1
1,1,0,1,6,0,0.68312,1
1,1,0,1,1,1,0.63449,1
1,3,0,1,4,1,0.57251,1
1,3,1,1,1,1,0.57886,1
1,1,1,1,4,1,0.51086,1
1,2,0,1,3,1,0.58677,1
1,2,1,1,5,1,0.73267,1
1,3,1,1,6,1,0.50062,1
1,1,0,1,5,0,0.75187,1
1,2,1,1,6,0,0.61564,1
1,3,0,1,3,1,0.60032,1
1,2,0,1,4,1,0.56419,1
1,3,0,1,5,0,0.62464,1
1,1,0,1,3,1,0.58202,1
1,3,1,1,4,1,0.50063,1
1,3,0,1,1,1,0.53511,1
1,2,0,1,2,0,0.61491,1
1,3,1,1,4,1,0.53081,1
1,3,0,1,5,1,0.55213,1
1,3,0,1,6,0,0.59071,1
1,1,0,1,2,0,0.53868,1
1,1,1,1,6,0,0.70509,1
1,2,1,1,1,1,0.53382,1
1,1,0,1,6,0,0.62041,1
1,2,1,1,5,1,0.63556,1
1,3,0,1,2,0,0.56547,1
1,1,1,1,3,1,0.67807,1
1,1,1,1,5,1,0.82996,1
1,1,1,1,1,1,0.55192,1
1,1,1,1,4,1,0.65926,1
1,3,1,1,3,1,0.56087,1
1,1,1,1,2,0,0.69842,1
1,3,0,1,3,1,0.62491,1
1,2,0,1,5,1,0.55267,1
1,1,0,1,1,1,0.49403,1
1,2,0,1,4,1,0.49796,1
1,3,1,1,1,1,0.4662,1
1,3,1,1,6,0,0.59914,1
1,2,1,1,4,1,0.54439,1
1,3,0,1,1,1,0.64887,1
1,3,1,1,5,1,0.69167,1
1,1,0,1,3,0,0.54883,1
1,2,0,1,6,0,0.65389,1
1,3,0,1,4,1,0.53868,1
1,2,1,1,6,0,0.64937,1
1,1,0,1,5,0,0.95911,1
1,2,1,1,3,1,0.6078,1
1,1,0,1,4,1,0.61886,1
1,3,1,1,2,0,0.64199,1
1,2,0,1,3,1,0.65735,1
1,2,1,1,2,0,0.75001,1
1,3,0,1,3,1,0.64284,1
1,3,0,1,6,0,0.57833,1
1,2,0,1,2,0,0.54267,1
1,3,1,1,3,1,0.46944,1
1,1,1,1,5,0,0.65262,1
1,1,0,1,3,1,0.61847,1
1,3,0,1,5,0,0.63642,1
1,2,0,1,6,0,0.53782,1
1,2,0,1,3,1,0.67616,1
1,2,0,1,1,1,0.48528,1
1,3,0,1,2,0,0.80011,1
1,1,1,1,6,0,0.63859,1
1,3,0,1,4,1,0.53143,1
1,1,1,1,3,1,0.54799,1
1,3,1,1,4,1,0.4877,1
1,2,0,1,5,1,0.50577,1
1,1,0,1,4,1,0.52495,1
1,1,0,1,2,0,0.71206,1
1,3,0,1,1,1,0.54676,1
1,3,1,1,5,1,0.58084,1
1,1,0,1,6,1,0.58058,1
1,3,1,1,2,0,0.60057,1
1,1,1,1,4,1,0.5651,1
1,2,1,1,2,0,0.65801,1
1,2,1,1,3,1,0.61419,1
1,2,1,1,5,1,0.90349,1
1,2,0,1,4,1,0.61462,1
1,3,1,1,1,1,0.55323,1
1,3,1,1,6,0,0.57718,1
1,1,0,1,5,1,0.66247,1
1,1,0,1,1,1,0.58236,1
1,1,1,1,2,0,0.83972,1
1,2,1,1,1,1,0.57458,1
1,2,1,1,6,0,0.64078,1
1,2,1,1,4,1,0.52195,1
1,1,1,1,1,1,0.48502,1
1,1,0,1,5,0,0.67036,1
1,2,0,1,3,1,0.57816,1
1,3,1,1,4,1,0.53805,1
1,2,1,1,6,0,0.67735,1
1,1,0,1,4,1,0.52008,1
1,3,0,1,5,1,0.64509,1
1,3,0,1,3,1,0.54609,1
1,3,1,1,2,0,0.62169,1
1,1,1,1,5,1,0.58346,1
1,2,1,1,2,0,0.62491,1
1,3,1,1,5,1,0.65603,1
1,3,1,1,6,0,0.61663,1
1,3,1,1,3,1,0.54049,1
1,1,1,1,2,0,0.52322,1
1,1,0,1,3,1,0.57164,1
1,1,1,1,4,1,0.60301,1
1,1,0,1,6,0,0.67433,1
1,2,1,1,3,1,0.68212,1
1,2,1,1,4,1,0.56492,1
1,2,1,1,1,1,0.70001,1
1,2,0,1,6,0,0.62583,1
1,3,0,1,2,1,0.85984,1
1,3,0,1,4,1,0.58302,1
1,2,0,1,2,1,0.7282,1
1,1,0,1,1,1,0.63883,1
1,1,1,1,3,1,0.71739,1
1,3,0,1,6,0,0.623,1
1,2,1,1,5,1,0.50332,1
1,3,1,1,1,1,0.51321,1
1,1,0,1,2,0,0.62234,1
1,2,0,1,5,1,0.56431,1
1,2,0,1,1,1,0.47683,1
1,2,0,1,4,1,0.52284,1
1,3,0,1,1,1,0.55544,1
1,1,1,1,6,1,0.70064,1
1,1,1,1,1,1,0.56752,1
1,3,0,1,3,1,0.5886,1
1,1,0,1,1,1,0.49465,1
1,2,1,1,6,0,0.62895,1
1,3,0,1,5,1,0.6582,1
