Subject,Distance,Context,Condition,ClassRef,RT,Vis
5,3,0,0,0,0.60021,1
5,5,0,0,0,0.77198,1
5,4,1,0,1,0.73441,1
5,2,0,0,0,0.65588,1
5,3,1,0,1,0.92169,1
5,3,0,0,0,0.60021,1
5,5,1,0,1,0.7101,1
5,4,0,0,0,0.6448,1
5,6,1,0,1,0.67653,1
6,3,1,0,1,0.91895,1
6,2,0,0,0,0.87301,1
6,1,1,0,0,0.73966,1
6,6,1,0,0,0.72421,1
6,2,1,0,1,0.71853,1
6,6,0,0,1,0.76588,1
6,5,1,0,1,1.097,2
6,1,0,0,0,0.70445,2
6,4,1,0,1,0.72032,2
6,4,0,0,0,0.88309,2
6,3,0,0,0,0.69875,1
6,5,0,0,0,0.69923,1
6,3,1,0,1,0.75321,1
6,5,0,0,0,0.58113,1
6,2,1,0,0,0.5483,1
6,6,0,0,1,0.7138,1
6,4,0,0,1,0.63499,1
6,1,1,0,0,0.75872,1
6,5,1,0,1,0.45479,1
6,6,1,0,1,0.46602,1
6,1,0,0,0,0.63578,1
6,2,0,0,0,0.66517,1
6,3,0,0,0,0.98172,1
6,4,1,0,0,0.8496,1
6,2,0,0,1,0.68936,1
6,6,0,0,0,0.59075,1
6,2,1,0,1,0.56162,1
6,6,1,0,1,0.61361,1
6,3,1,0,1,0.64591,1
6,5,0,0,0,0.6584,1
6,4,0,0,0,0.67171,1
6,3,0,0,1,0.85152,1
6,5,1,0,1,0.75771,1
6,1,1,0,1,0.70013,1
6,4,1,0,1,0.59319,1
6,1,0,0,0,0.71725,1
6,5,1,0,1,0.63328,1
6,2,1,0,1,0.81583,1
6,6,1,0,1,0.62754,1
6,2,0,0,0,0.55555,1
6,1,0,0,0,0.62068,1
6,4,1,0,1,1.101,1
6,5,0,0,1,0.73109,1
6,6,0,0,1,1.1138,1
6,1,1,0,0,0.84597,1
6,3,1,0,0,0.77434,1
6,3,0,0,0,0.81816,1
6,4,0,0,0,0.77757,2
6,2,1,0,1,0.62922,1
6,5,0,0,0,0.84741,1
6,1,1,0,0,0.54065,1
6,3,1,0,0,0.64125,1
6,1,0,0,0,0.51791,1
6,6,0,0,0,0.42575,1
6,6,1,0,1,0.34514,1
6,5,1,0,1,0.59283,1
6,3,0,0,0,0.49256,1
6,4,0,0,1,0.6546,1
6,2,0,0,0,0.53332,1
6,4,1,0,1,0.61447,1
6,5,0,0,1,0.53701,1
6,4,1,0,0,0.58749,1
6,3,0,0,1,0.52622,1
6,4,0,0,0,0.77623,1
6,5,1,0,0,0.67192,1
6,2,1,0,1,0.72083,1
6,1,0,0,0,0.52513,1
6,6,1,0,1,0.53857,1
6,1,1,0,0,0.4716,1
