Subject,Distance,Context,Style,Item,ClassRef,RT,Vis
1,3,0,0,8,0,0.86103,4
1,2,1,0,12,1,0.92881,4
1,1,1,0,10,1,1.1095,4
1,2,0,0,12,1,0.90743,3
1,1,0,0,7,1,1.103,3
1,1,1,0,12,1,1.0205,3
1,2,0,0,8,0,1.1017,4
1,2,0,0,7,1,1.0628,4
1,2,0,0,11,1,1.2667,3
1,2,1,0,8,1,1.6941,4
1,3,0,0,10,1,1.2772,4
1,3,1,0,10,1,1.1328,4
1,2,0,0,9,0,1.0181,4
1,2,1,0,7,1,1.125,4
1,1,0,0,10,1,2.5297,2
1,1,0,0,12,1,0.99723,3
1,3,1,0,12,1,1.1482,3
1,3,1,0,11,1,1.398,4
1,2,0,0,10,1,2.114,3
1,2,1,0,9,1,1.0472,4
1,3,0,0,7,1,1.0303,3
1,3,0,0,9,0,0.91559,4
1,2,1,0,11,1,0.81944,4
1,1,1,0,7,1,1.1632,4
1,3,1,0,9,1,0.958,4
1,1,1,0,9,1,1.4043,4
1,1,1,0,11,1,0.82095,4
1,1,0,0,9,0,1.4626,4
1,3,1,0,7,1,1.0872,4
1,3,0,0,11,1,1.7444,3
1,3,0,0,12,1,1.2754,3
1,2,1,0,10,1,1.0928,4
1,1,0,0,8,0,1.0553,4
1,3,0,0,12,1,1.1707,3
1,1,0,0,11,0,1.0291,4
1,2,0,0,7,1,1.413,3
1,1,0,0,8,0,0.95431,4
1,3,1,0,7,1,1.0089,4
1,1,0,0,9,0,0.84943,4
1,1,0,0,7,1,1.3951,3
1,3,0,0,10,1,2.0065,3
1,1,1,0,7,1,1.3463,4
1,1,1,0,9,1,1.1933,4
1,2,1,0,10,1,1.0008,4
1,3,0,0,7,1,1.4089,3
1,2,0,0,12,1,1.2909,3
1,1,0,0,10,0,1.4732,4
1,1,0,0,12,1,1.3378,3
1,3,1,0,8,1,1.0618,4
1,3,0,0,9,0,1.6062,4
1,2,1,0,12,1,1.3375,4
1,1,1,0,10,1,1.196,4
1,2,0,0,9,0,1.175,4
1,1,1,0,12,1,1.8125,4
1,1,1,0,11,1,1.115,4
1,3,1,0,9,1,1.2041,4
1,2,0,0,10,0,1.582,4
1,3,1,0,12,1,1.2418,4
1,2,1,0,8,1,0.97366,4
1,2,1,0,11,1,0.74807,4
1,2,0,0,8,0,0.85736,4
1,3,0,0,11,1,1.9313,3
1,2,1,0,9,1,0.85975,4
1,2,1,0,7,1,1.7169,4
1,3,1,0,11,1,0.75485,4
1,2,0,0,11,1,1.4373,3
1,3,1,0,10,1,1.2577,4
1,3,0,0,8,0,0.76988,4
