Subject,Distance,Is_Let,Is_Num,Resp13,RT,Vis
1,5,0,0,1,0.61623,4
1,3,0,0,1,1.2864,4
1,2,0,1,1,1.463,4
1,3,0,1,1,0.6021,4
1,4,1,0,1,1.1025,4
1,5,0,1,0,0.53001,4
1,6,0,0,1,0.54712,4
1,6,0,1,1,0.45101,4
1,4,1,0,0,0.56943,4
1,1,0,1,1,0.82498,4
1,1,1,0,0,0.51469,4
1,3,0,0,1,0.54782,4
1,3,0,1,1,1.0641,4
1,6,1,0,0,0.82742,4
1,1,1,0,1,0.68862,4
1,2,0,0,1,0.77078,4
1,2,0,1,1,1.0117,4
1,6,0,0,1,0.51022,4
1,5,0,1,1,0.55892,4
1,5,0,1,1,0.55888,4
1,2,0,1,1,0.71057,4
1,1,0,0,1,0.77,4
1,1,1,0,0,0.45393,4
1,2,1,0,0,0.59571,4
1,5,0,0,1,0.63749,4
1,5,1,0,0,0.61695,4
1,6,1,0,0,1.0893,4
1,4,0,1,1,0.9243,4
1,2,1,0,0,0.67182,4
1,6,1,0,0,0.80034,4
1,1,0,0,1,0.58953,4
1,1,0,1,1,0.86141,4
1,6,0,1,0,0.91837,1
1,3,0,1,1,1.3779,4
1,6,0,0,1,0.63406,4
1,3,1,0,0,1.2538,4
1,1,0,1,1,0.45458,4
1,3,0,1,0,0.88987,4
1,4,0,1,0,0.70305,4
1,5,0,1,1,0.5027,4
1,2,1,0,0,0.52057,4
1,2,0,0,1,0.70501,4
1,5,1,0,0,0.53964,4
1,1,0,1,1,0.64813,4
1,3,0,0,1,0.53753,4
1,6,0,0,1,0.52946,4
1,5,0,1,1,0.54946,4
1,3,0,0,1,0.80967,4
1,1,0,0,1,0.48755,4
1,4,0,1,1,0.9053,4
1,4,1,0,0,0.59619,4
1,5,0,0,1,0.53108,4
1,4,0,0,1,0.53364,4
1,2,0,1,0,0.80293,4
1,5,1,0,0,0.60995,4
1,3,0,1,1,0.66613,4
1,6,0,1,1,0.6315,4
1,2,1,0,0,0.56084,4
1,6,0,1,1,0.57127,4
1,6,0,1,1,0.526,4
1,4,0,0,0,0.76606,4
1,3,0,1,1,0.63718,4
1,4,0,0,1,1.1635,4
1,4,0,1,1,0.80629,4
1,1,0,0,1,0.90443,4
1,6,0,1,1,0.54245,4
1,5,1,0,0,0.52034,4
1,2,1,0,0,0.48319,4
1,6,1,0,0,1.2154,4
1,6,0,1,1,0.4934,4
1,3,0,0,0,0.54893,4
1,3,1,0,0,0.52322,4
1,2,0,0,1,0.88508,4
1,4,0,0,1,0.93336,4
1,2,0,0,1,0.57106,4
1,4,0,0,1,0.56185,4
1,5,0,1,1,1.4469,4
1,6,1,0,0,1.0371,4
1,5,0,1,1,0.85554,4
1,6,1,0,0,1.174,4
1,2,0,1,1,1.2383,4
1,5,1,0,0,1.0004,4
1,1,0,0,0,1.9158,4
1,1,0,1,1,0.52846,4
1,4,0,0,1,0.91427,4
1,1,0,0,0,1.32,4
1,2,0,0,0,1.8693,1
1,4,1,0,0,0.57399,4
1,2,0,0,0,0.54964,4
1,1,1,0,0,0.55787,4
1,5,0,1,1,1.2726,1
1,4,0,0,1,0.73842,4
1,1,0,1,1,0.95002,4
1,5,0,1,1,0.5151,4
1,2,0,0,1,0.81388,4
1,2,0,0,0,1.2097,4
1,2,0,0,1,0.67029,4
1,4,0,1,1,0.70041,4
1,1,0,0,1,0.56666,4
1,4,1,0,1,0.81071,4
1,1,1,0,0,0.52132,4
1,6,0,1,1,0.75286,4
1,1,0,1,1,1.8062,4
1,1,0,0,0,0.72741,4
1,1,0,1,1,0.5947,4
1,5,1,0,1,0.61736,4
1,1,0,1,1,0.58487,4
1,3,1,0,1,0.55778,4
1,2,0,1,1,0.53006,4
1,5,0,1,1,0.62181,4
1,6,1,0,1,0.43805,4
1,1,1,0,1,0.39869,4
1,5,1,0,0,0.74346,4
1,3,0,0,1,0.49786,4
1,6,1,0,0,0.87495,4
1,5,1,0,0,0.66597,4
1,4,1,0,0,0.5326,4
1,5,0,0,0,0.62063,4
1,2,0,0,0,0.76805,4
1,3,1,0,0,0.53135,4
1,6,0,1,1,0.73231,4
1,6,0,0,1,0.76171,4
1,1,1,0,0,1.2497,4
1,1,1,0,0,0.40982,4
1,4,1,0,0,0.49424,4
1,5,0,1,1,0.67647,4
1,6,1,0,0,0.92136,4
1,4,0,1,1,0.69673,4
1,3,0,0,1,0.6937,4
1,3,1,0,0,0.61995,4
1,5,0,1,1,0.55981,4
1,1,0,0,1,0.73872,4
1,3,0,1,1,0.98798,4
1,2,0,0,1,0.59267,4
1,3,0,1,1,0.47691,4
1,5,0,1,1,0.49104,4
1,5,1,0,0,0.68908,4
1,5,0,1,1,0.64128,4
1,6,0,0,1,0.62455,4
1,1,0,1,1,0.5047,4
1,2,0,1,1,0.55653,4
1,5,1,0,0,0.85975,4
1,6,1,0,0,0.5762,4
1,3,0,1,1,0.63403,4
1,3,0,1,1,1.3177,4
1,6,0,1,1,0.4741,4
1,5,1,0,0,0.64635,4
1,1,0,0,1,0.65196,4
1,2,1,0,0,0.70495,4
1,2,0,1,1,0.49826,4
1,1,1,0,0,0.58351,4
1,4,0,1,1,0.51197,4
1,1,0,1,1,1.13,4
