"","id","cond","aware","addcno","addino","addnooutliers","addcrx","addclrx","addirx","addilrx","subcno","subino","subnooutliers","subcrx","subclrx","subirx","subilrx","Purpose","ExplicitAware","Type","pass","completeunaware","awareness","eye","block","filter_$","addpro","subpro","addout","subout"
"49",1088,4,0.53125,32,32,60,561.8275862,6.324808762,564.1612903,6.332060755,24,24,45,578.6818182,6.349587018,555.2608696,6.310185804,2,2,0,1,1,1,1,0,1,1,1,0.9375,0.9375
"50",1095,2,0.515625,32,32,62,638.7419355,6.448916206,649.1935484,6.466323172,24,24,47,561.2608696,6.326146566,558.4583333,6.31334388,2,2,0,1,1,1,1,1,1,1,1,0.96875,0.979166666666667
"51",1097,2,0.546875,32,32,63,751.71875,6.601294286,718.3870968,6.542948199,24,24,48,640.0416667,6.452245856,640.75,6.453811428,2,2,0,1,1,1,1,1,1,1,1,0.984375,1
"52",1100,2,0.453125,32,32,61,569.3870968,6.340909436,595.5333333,6.386028237,24,24,47,546.4583333,6.299758845,571.2608696,6.334095597,2,2,0,1,1,1,1,1,1,1,1,0.953125,0.979166666666667
"53",1101,2,0.5,32,32,63,472.0322581,6.153893804,487.125,6.183303684,24,24,47,483.75,6.178529395,483.2608696,6.175051071,2,2,0,1,1,1,1,1,1,1,1,0.984375,0.979166666666667
"54",1102,1,0.59375,32,32,64,487.96875,6.182324556,487.4375,6.183440573,24,24,48,500,6.208487325,513.9166667,6.23630153,2,2,0,1,1,1,0,1,1,1,1,1,1
"55",1106,3,0.484375,32,32,63,570.625,6.334730015,545.9354839,6.290836179,24,24,48,514.25,6.238132933,518.7083333,6.245071087,2,2,0,1,1,1,0,0,1,1,1,0.984375,1
"56",1107,2,0.484375,32,32,63,571.9032258,6.342346777,573.21875,6.34784053,24,24,47,566.2916667,6.330297372,577.7826087,6.345428388,2,2,0,1,1,1,1,1,1,1,1,0.984375,0.979166666666667
"57",1109,3,0.484375,32,32,63,467.2580645,6.142080925,486.6875,6.181308368,24,24,47,503.173913,6.214656737,518.2916667,6.244106984,2,2,0,1,1,1,0,0,1,1,1,0.984375,0.979166666666667
"58",1110,2,0.453125,32,32,63,453.25,6.112953374,460.9354839,6.126990684,24,23,47,457.4166667,6.122313648,440.0434783,6.085031954,2,2,0,1,1,1,1,1,1,1,0.979166666666667,0.984375,0.979166666666667
"59",1111,3,0.578125,32,32,61,518.1935484,6.244033929,501.6666667,6.201131226,24,24,44,513.4347826,6.224199978,540.0952381,6.278879716,2,2,0,1,1,1,0,0,1,1,1,0.953125,0.916666666666667
"60",1112,4,0.484375,32,32,64,503.1875,6.216679106,493.5625,6.197681672,24,24,46,502.2173913,6.213446908,512.5652174,6.235912905,2,2,0,1,1,1,1,0,1,1,1,1,0.958333333333333
"61",1113,2,0.484375,32,32,64,586.5,6.36720511,578.3125,6.355250075,24,24,48,517.2083333,6.242760944,539.875,6.285048103,2,2,0,1,1,1,1,1,1,1,1,1,1
"62",1115,2,0.46875,32,32,61,568.9666667,6.332974225,595.5806452,6.368497089,24,24,45,593.4545455,6.372394906,628.1304348,6.43022803,2,2,0,1,1,1,1,1,1,1,1,0.953125,0.9375
"63",1118,1,0.484375,32,32,63,597.1612903,6.385612663,604.6875,6.399948635,24,24,45,508.8333333,6.17421714,540.3333333,6.258348866,2,2,0,1,1,1,0,1,1,1,1,0.984375,0.9375
"64",1121,2,0.4375,32,32,63,531.0322581,6.27040626,496.65625,6.20363078,24,24,47,510.0869565,6.231434127,505.0416667,6.221089188,2,2,0,1,1,1,1,1,1,1,1,0.984375,0.979166666666667
